127.0.0.1 - - [08/Aug/2023:09:50:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:45:08 +0530] "POST /candidateEvaluationApplication/candEvalApp/candidate/candidate-search HTTP/1.1" 200 12573
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:45:21 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:45:29 +0530] "POST /candidateEvaluationApplication/candEvalApp/candidate/candidate-search HTTP/1.1" 200 34143
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:45:37 +0530] "POST /candidateEvaluationApplication/candEvalApp/candidate/candidate-search HTTP/1.1" 200 14961
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:45:58 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:45:59 +0530] "GET /candidateEvaluationApplication/candEvalApp/feedback/feedback-list HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:46:05 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:46:08 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/4 HTTP/1.1" 200 12353
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:46:11 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:46:17 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-form HTTP/1.1" 200 11319
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:47:04 +0530] "POST /candidateEvaluationApplication/candEvalApp/candidate/candidate-save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:47:04 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 65293
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:47:08 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/30 HTTP/1.1" 200 11926
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:47:12 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/resume/Shreya_Tripathi_30.pdf HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:47:27 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/resume/Shreya_Tripathi_30.pdf HTTP/1.1" 200 98553
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:47:34 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/resume/Shreya_Tripathi_30.pdf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:47:40 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/resume/Shreya_Tripathi_30.pdf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:48:06 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/30 HTTP/1.1" 200 11903
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:48:07 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/resume/Shreya_Tripathi_30.pdf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:49:38 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/30 HTTP/1.1" 200 11913
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:49:39 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/30 HTTP/1.1" 200 11913
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:49:39 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/30 HTTP/1.1" 200 11913
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:49:39 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/30 HTTP/1.1" 200 11913
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:49:39 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/30 HTTP/1.1" 200 11913
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:49:41 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/resume/Shreya_Tripathi_30.pdf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:49:48 +0530] "GET /candidateEvaluationApplication/candEvalApp/ HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:49:54 +0530] "POST /candidateEvaluationApplication/candEvalApp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:49:54 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 65292
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:49:57 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/30 HTTP/1.1" 200 11912
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:49:58 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/resume/Shreya_Tripathi_30.pdf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:51:09 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-details/30 HTTP/1.1" 200 11915
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:51:10 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/resume/Shreya_Tripathi_30.pdf HTTP/1.1" 200 98553
